"id","login_id","updated","active","sn","parent_category_id","title","description","takeaway_sit_in","image_src","image_href"
"1","1","0000-00-00 00:00:00","1","1","0","Takeaway Menu","","","",""
"2","1","0000-00-00 00:00:00","1","1","1","STARTER","","","",""
"3","1","0000-00-00 00:00:00","1","1","1","TANDOORI SPECIALITIES","","","",""
"4","1","0000-00-00 00:00:00","1","1","1","CHEF'S SPECIALITIES","","","",""
"5","1","0000-00-00 00:00:00","1","1","1","VEGETABLES","","","",""
"6","1","0000-00-00 00:00:00","1","1","1","LAMB CURRIES","","","",""
"7","1","0000-00-00 00:00:00","1","1","1","CHICKEN CURRIES","","","",""
"8","1","0000-00-00 00:00:00","1","1","1","SEAFOOD CURRIES","","","",""
"9","1","0000-00-00 00:00:00","1","1","1","BREADS","","","",""
"10","1","0000-00-00 00:00:00","1","1","1","DRINKS","","","",""
"11","1","0000-00-00 00:00:00","1","1","1","DESSERT","","","",""
"12","1","0000-00-00 00:00:00","1","1","1","BIRYANIS","All Biryani's are mixed and cooked with basmati rice&#44; medium spiced and gamished with coriander&#44; served with vegetable curry.","","",""
"13","1","0000-00-00 00:00:00","1","1","1","SUNDRIES","","","",""
